歌ID,決まり字,下の句の決まり字,歌人,上の句,下の句,上の句（ひらがな）,下の句（ひらがな）,上の句（よみがな）,下の句（よみがな）
84,ながら,うし,藤原清輔朝臣,ながらへばまたこのごろやしのばれむ,憂しと見し世ぞ今は恋しき,ながらへばまたこのごろやしのばれむ,うしとみしよぞいまはこひしき,ながらえばまたこのごろやしのばれん,うしとみしよぞいまはこいしき
85,よも,ね,俊恵法師,夜もすがらもの思ふころは明けやらで,ねやのひまさへつれなかりけり,よもすがらものおもふころはあけやらで,ねやのひまさへつれなかりけり,よもすがらものおもうころはあけやらで,ねやのひまさえつれなかりけり
86,なげけ,かこ,西行法師,嘆けとて月やはものを思はする,かこち顔なるわが涙かな,なげけとてつきやはものをおもはする,かこちがほなるわがなみだかな,なげけとてつきやはものをおもわする,かこちがおなるわがなみだかな
87,む,きり,寂蓮法師,村雨の露もまだ干ぬまきの葉に,霧立ちのぼる秋の夕暮,むらさめのつゆもまだひぬまきのはに,きりたちのぼるあきのゆふぐれ,むらさめのつゆもまだひぬまきのはに,きりたちのぼるあきのゆうぐれ
88,なにわえ,みをつくしてや,皇嘉門院別当,難波江の葦のかりねのひとよゆゑ,身をつくしてや恋ひわたるべき,なにはえのあしのかりねのひとよゆゑ,みをつくしてやこひわたるべき,なにわえのあしのかりねのひとよゆえ,みをつくしてやこいわたるべき
89,たま,しの,式子内親王,玉の緒よ絶えなば絶えねながらへば,忍ぶることの弱りもぞする,たまのをよたえなばたえねながらへば,しのぶることのよわりもぞする,たまのをよたえなばたえねながらえば,しのぶることのよわりもぞする
90,みせ,ぬ,殷富門院大輔,見せばやな雄島の海人の袖だにも,濡れにぞ濡れし色は変はらず,みせばやなをじまのあまのそでだにも,ぬれにぞぬれしいろはかはらず,みせばやなおじまのあまのそでだにも,ぬれにぞぬれしいろはかはらず
91,きり,ころもか,後京極摂政前太政大臣,きりぎりす鳴くや霜夜のさむしろに,衣かたしきひとりかも寝む,きりぎりすなくやしもよのさむしろに,ころもかたしきひとりかもねむ,きりぎりすなくやしもよのさむしろに,ころもかたしきひとりかもねん
92,わがそ,ひとこそし,二条院讃岐,わが袖は潮干に見えぬ沖の石の,人こそ知らねかわく間もなし,わがそではしほひにみえぬおきのいしの,ひとこそしらねかわくまもなし,わがそではしおひにみえぬおきのいしの,ひとこそしらねかわくまもなし
93,よのなかは,あまの,鎌倉右大臣,世の中は常にもがもな渚漕ぐ,海人の小舟の綱手かなしも,よのなかはつねにもがもななぎさこぐ,あまのをぶねのつなでかなしも,よのなかはつねにもがもななぎさこぐ,あまのをぶねのつなでかなしも
94,みよ,ふる,参議雅経,み吉野の山の秋風小夜更けて,ふるさと寒く衣うつなり,みよしののやまのあきかぜさよふけて,ふるさとさむくころもうつなり,みよしののやまのあきかぜさよふけて,ふるさとさむくころもうつなり
95,おおけ,わがた,前大僧正慈円,おほけなく憂き世の民におほふかな,わが立つ杣にすみ染の袖,おほけなくうきよのたみにおほふかな,わがたつそまにすみぞめのそで,おおけなくうきよのたみにおおうかな,わがたつそまにすみぞめのそで
96,はなさ,ふり,入道前太政大臣,花さそふ嵐の庭の雪ならで,ふりゆくものはわが身なりけり,はなさそふあらしのにはのゆきならで,ふりゆくものはわがみなりけり,はなさそうあらしのにわのゆきならで,ふりゆくものはわがみなりけり
97,こぬ,やく,権中納言定家,来ぬ人を松帆の浦の夕なぎに,焼くや藻塩の身もこがれつつ,こぬひとをまつほのうらのゆふなぎに,やくやもしほのみもこがれつつ,こぬひとをまつほのうらのゆうなぎに,やくやもしおのみもこがれつつ
98,かぜそ,みそ,従二位家隆,風そよぐ楢の小川の夕暮は,みそぎぞ夏のしるしなりける,かぜそよぐならのをがはのゆふぐれは,みそぎぞなつのしるしなりける,かぜそよぐならのおがわのゆうぐれは,みそぎぞなつのしるしなりける
99,ひとも,よをお,後鳥羽院,人もをし人もうらめしあじきなく,世を思ふゆゑにもの思ふ身は,ひともをしひともうらめしあぢきなく,よをおもふゆゑにものおもふみは,ひともおしひともうらめしあぢきなく,よをおもうゆえにものおもうみは
100,もも,なおあ,順徳院,百敷や古き軒端のしのぶにも,なほあまりある昔なりけり,ももしきやふるきのきばのしのぶにも,なほあまりあるむかしなりけり,ももしきやふるきのきばのしのぶにも,なおあまりあるむかしなりけり
